id,A1,A2,A3,A4,A5,A6,A7,A8
22249,12,98,52,56,42,86,85,54
48194,53,88,59,70,80,75,85,59
15278,6,57,4,98,5,92,65,24
21697,22,14,28,4,22,43,22,63
12886,3,67,98,92,71,97,19,78
20815,66,44,18,53,76,13,31,93
20799,6,40,44,89,89,27,71,16
12473,21,22,88,32,4,41,73,31
36086,6,75,93,25,22,97,33,14
41473,0,50,27,86,36,23,67,37
23539,95,69,84,73,92,10,35,53
3542,47,35,90,73,5,57,40,79
12950,34,22,21,37,60,54,76,29
28546,62,35,1,63,56,13,73,10
48929,58,58,26,47,65,50,68,19
26139,65,72,63,12,16,12,63,4
48262,64,56,17,63,86,5,5,92
33827,68,30,57,58,54,18,94,37
23678,58,42,66,97,85,71,78,44
23735,39,73,15,31,51,56,90,19
45921,70,35,85,34,13,48,59,38
45367,61,96,46,50,93,75,22,15
21673,34,17,26,75,24,6,87,27
16767,19,13,79,0,27,45,10,56
3234,82,20,11,67,44,78,99,4
29152,34,48,95,95,39,70,36,7
4622,73,99,81,90,70,94,11,81
10548,59,96,72,6,75,36,42,35
6203,44,79,58,54,7,52,95,93
17399,11,57,6,62,94,11,12,64
10688,45,90,50,11,5,50,90,48
1703,30,74,20,93,53,37,12,89
23163,78,14,35,96,14,12,79,80
15504,72,21,14,38,87,26,77,77
28742,72,40,24,46,44,78,81,97
9699,65,17,83,24,57,60,99,58
15670,7,87,29,60,3,68,67,9
45919,47,51,79,25,26,24,30,22
40375,6,4,60,9,84,18,4,7
31609,53,72,95,98,40,26,66,26
34130,93,5,75,89,42,21,31,7
48742,99,76,17,3,14,59,29,92
44859,73,82,81,91,18,47,84,63
10144,53,66,27,48,48,70,24,89
34394,89,11,19,45,17,73,54,49
39132,26,99,35,31,22,75,37,83
31676,11,61,36,70,28,89,62,97
46819,12,57,67,20,59,41,7,82
30121,28,13,67,11,34,1,33,71
48871,46,63,95,32,79,25,99,84
18409,76,49,6,35,17,19,64,39
32280,81,82,64,54,76,62,21,60
46493,59,58,28,96,44,42,75,82
36248,57,93,1,1,3,44,18,29
17297,69,83,73,54,20,59,58,24
18571,66,38,69,65,41,7,8,49
3529,9,70,5,90,53,45,55,97
44240,29,90,97,78,51,35,66,61
10162,32,2,45,19,7,21,25,61
9388,14,39,17,64,43,47,41,74
1834,62,95,58,39,81,50,99,47
43287,5,27,20,72,31,83,26,0
23472,48,96,60,93,43,95,45,36
30024,66,53,99,29,70,4,16,7
26735,98,60,83,0,2,26,64,40
10553,90,39,87,0,91,16,85,83
17975,69,31,57,21,25,99,44,35
37960,91,55,35,87,93,16,81,64
15008,59,1,7,82,89,16,32,81
34995,91,9,23,9,74,98,52,46
39822,59,22,18,48,96,71,30,94
2805,22,7,83,99,86,61,56,56
10639,7,28,84,9,22,29,78,3
28948,3,63,35,42,32,18,21,0
16368,79,64,48,71,5,56,34,47
47814,39,94,43,94,20,66,62,84
10987,35,23,39,81,4,41,0,32
11134,23,60,52,69,50,94,58,93
33054,81,22,39,33,28,4,93,16
17579,33,70,64,91,94,81,71,18
36345,34,7,27,92,80,30,48,19
19436,91,3,21,1,20,91,11,19
27380,89,10,66,42,18,26,90,79
27976,89,34,85,61,35,77,52,75
36610,69,3,88,38,96,60,17,19
772,15,55,31,33,95,31,78,44
36437,96,60,35,54,49,89,49,46
31487,33,87,13,0,2,25,18,37
27603,96,14,9,64,26,23,76,76
29907,13,40,29,21,78,33,19,40
1305,73,47,72,45,72,40,45,0
6283,84,40,68,12,26,78,29,45
14788,40,70,26,95,74,76,68,43
3706,62,84,17,44,9,9,92,88
5384,18,58,49,9,12,22,97,22
47392,67,21,61,93,90,45,29,78
36875,3,84,46,86,3,13,69,26
10457,46,48,40,31,78,52,69,6
6368,86,12,98,52,64,43,0,41
40884,14,6,58,71,34,74,95,20
13959,76,2,27,51,37,28,69,57
33410,48,81,65,4,16,47,24,52
25477,27,27,63,94,96,12,42,88
41317,77,32,67,36,52,90,94,24
8580,76,75,82,49,65,8,0,33
17704,6,7,42,7,8,89,91,75
35062,34,41,9,66,63,54,14,62
22099,13,47,87,90,8,49,36,78
46838,48,68,41,9,37,55,6,77
5272,23,55,64,53,33,53,39,18
2730,81,47,72,81,85,76,51,50
12466,81,89,7,80,52,83,11,84
38618,12,5,32,57,77,42,81,86
17324,11,65,87,81,47,23,29,68
27781,4,75,52,37,5,73,93,31
33330,20,32,41,15,27,68,51,22
35420,19,52,81,10,83,45,45,49
40547,74,9,18,2,12,77,31,80
38715,79,24,46,2,27,65,44,64
29797,60,24,40,97,75,80,35,93
17799,42,81,9,90,20,80,19,92
5182,61,16,66,28,17,80,85,29
47467,49,69,17,55,97,24,34,54
10239,29,97,11,28,1,33,4,10
37793,2,48,50,71,44,60,82,20
42445,25,63,88,61,33,96,49,87
40769,57,43,87,44,84,73,88,7
25161,40,10,70,66,85,55,78,45
20259,50,92,93,14,53,75,45,97
37599,75,46,94,52,99,76,76,26
1482,76,67,94,34,40,29,0,61
15726,35,82,62,9,73,40,2,69
35443,56,98,28,21,44,90,84,43
